date, pm25, pm10, o3, no2, co
2019/10/19, 158, 131, 21, 5, 4
2019/10/20, 167, 160, 26, 5, 4
2019/10/21, 190, 138, 22, 6, 5
2019/10/22, 171, 195, 30, 7, 10
2019/10/23, 184, 243, 32, 7, 9
2019/10/24, 229, 171, 29, 4, 6
2019/10/25, 182, 168, 31, 5, 6
2019/10/26, 199, 262, 18, 5, 13
2019/10/27, 284, 381, 28, 7, 13
2019/10/28, 400, 551, 51, 9, 26
2019/10/29, 433, 475, 11, 8, 30
2019/10/30, 391, 536, 13, 8, 39
2019/10/31, 420, 597, 21, 10, 28
2019/11/1, 465, 420, 14, 7, 14
2019/11/2, 395, 547, 9, 6, 24
2019/11/3, 546, 316, 11, 5, 13
2019/11/4, 360, 282, 18, 5, 10
2019/11/5, 299, 147, 16, 5, 9
2019/11/6, 190, 189, 9, 6, 8
2019/11/7, 257, 198, 20, 6, 10
2019/11/8, 241, 141, 17, 5, 5
2019/11/9, 198, 265, 25, 6, 7
2019/11/10, 301, 309, 40, 7, 10
2019/11/11, 372, 542, 37, 9, 14
2019/11/12, 473, 499, 45, 10, 19
2019/11/13, 437, 507, 66, 9, 26
2019/11/14, 424, 457, 15, 3, 26
2019/11/15, 360, 172, 18, 2, 8
2019/11/16, 205, 101, 7, 2, 4
2019/11/17, 155, 125, 12, 2, 7
2019/11/18, 178, 183, 7, 3, 12
2019/11/19, 246, 233, 23, 3, 23
2019/11/20, 264, 272, 98, 4, 26
2019/11/21, 297, 241, 152, 5, 13
2019/11/22, 264, 156, 33, 3, 9
2019/11/23, 185, 161, 7, 2, 6
2019/11/24, 153, 117, 19, 3, 6
2019/11/25, 164, 134, 7, 2, 7
2019/11/26, 165, 82, 7, 1, 4
2019/11/27, 123, 42, 7, 1, 3
2019/11/28, 73, 68, 9, 1, 4
2019/11/29, 114, 103, 16, 2, 6
2019/11/30, 148, 115, 1, 2, 6
2019/12/1, 167, 135, 1, 2, 8
2019/12/2, 179, 180, 25, 2, 10
2019/12/3, 190, 210, 62, 4, 15
2019/12/4, 226, 383, 500, 7, 21
2019/12/5, 354, 302, 214, 6, 14
2019/12/6, 300, 253, 127, 6, 15
2019/12/7, 279, 320, 201, 7, 23
2019/12/8, 325, 283, 375, 8, 19
2019/12/9, 287, 334, 36, 9, 23
2019/12/10, 282, 356, 38, 8, 25
2019/12/11, 190, 335, 30, 5, 12
2019/12/12, 328, 84, 16, 2, 5
2019/12/13, 171, 90, 22, 3, 7
2019/12/14, 157, 102, 19, 4, 6
2019/12/15, 174, 94, 4, 3, 5
2019/12/16, 169, 103, 12, 3, 6
2019/12/17, 179, 144, 24, 5, 7
2019/12/18, 212, 277, 7, 6, 15
2019/12/19, 315, 595, 49, 10, 33
2019/12/20, 478, 358, 83, 8, 16
2019/12/21, 356, 146, 40, 4, 8
2019/12/22, 212, 191, 27, 6, 12
2019/12/23, 260, 368, 29, 9, 15
2019/12/24, 337, 175, 3, 6, 8
2019/12/25, 222, 225, 8, 6, 8
2019/12/26, 263, 417, 16, 7, 12
2019/12/27, 317, 393, 70, 8, 15
2019/12/28, 339, 466, 38, 10, 14
2019/12/29, 388, , , , 
2019/7/1, 157, 155, 51, 18, 10
2019/7/2, 151, 74, 20, 18, 10
2019/7/3, 98, 71, 17, 18, 10
2019/7/4, 98, 75, 26, 18, 12
2019/7/5, 110, 49, 14, 18, 10
2019/7/6, 79, 80, 35, 18, 10
2019/7/7, 100, 96, 29, 18, 11
2019/7/8, 136, 81, 8, 18, 11
2019/7/9, 103, 232, 15, 18, 11
2019/7/10, 146, 301, 15, 18, 11
2019/7/11, 157, 315, 20, 18, 11
2019/7/12, 160, 202, 32, 18, 11
2019/7/13, 147, 185, 32, 18, 11
2019/7/14, 145, 92, 26, 18, 11
2019/7/15, 96, 66, 29, 18, 11
2019/7/16, 88, 65, 52, 18, 13
2019/7/17, 102, 63, 19, 18, 11
2019/7/18, 101, 113, 17, 16, 7
2019/7/19, 128, 78, 18, 14, 6
2019/7/20, 127, 83, 18, 14, 6
2019/7/21, 129, 83, 16, 14, 7
2019/7/22, 139, 117, 25, 14, 8
2019/7/23, 150, 108, 25, 13, 7
2019/7/24, 133, 49, 9, 15, 5
2019/7/25, 74, 38, 13, 13, 5
2019/7/26, 69, 38, 12, 13, 5
2019/7/27, 72, 37, 13, 13, 5
2019/7/28, 65, 47, 14, 13, 5
2019/7/29, 72, 60, 12, 13, 5
2019/7/30, 88, 57, 16, 13, 5
2019/7/31, 86, 61, 16, 14, 5
2019/8/1, 93, 60, 14, 13, 6
2019/8/2, 90, 59, 12, 13, 6
2019/8/3, 99, 70, 14, 13, 6
2019/8/4, 112, 71, 20, 13, 7
2019/8/5, 130, 47, 11, 13, 7
2019/8/6, 88, 57, 12, 14, 7
2019/8/7, 90, 66, 14, 13, 6
2019/8/8, 87, 48, 13, 13, 5
2019/8/9, 52, 39, 12, 15, 4
2019/8/10, 62, 49, 15, 13, 2
2019/8/11, 71, 53, 20, 14, 3
2019/8/12, 76, 48, 12, 13, 3
2019/8/13, 67, 53, 27, 14, 5
2019/8/14, 96, 68, 16, 13, 4
2019/8/15, 86, 34, 14, 13, 2
2019/8/16, 57, 14, 11, 13, 2
2019/8/17, 36, 51, 13, 13, 3
2019/8/18, 54, 67, 16, 13, 4
2019/8/19, 117, 74, 12, 12, 4
2019/8/20, 112, 93, 13, 13, 4
2019/8/21, 131, 96, 13, 13, 5
2019/8/22, 128, 98, 11, 12, 11
2019/8/23, 142, 93, 11, 10, 15
2019/8/24, 148, , 11, 12, 4
2019/8/25, 92, 77, 11, 12, 3
2019/8/26, 79, 70, 12, 12, 4
2019/8/27, 101, 65, 13, 11, 3
2019/8/28, 106, 63, 14, 12, 3
2019/8/29, 100, 71, 15, 12, 4
2019/8/30, 113, 79, 19, 12, 5
2019/8/31, 132, 100, 12, 13, 3
2019/9/1, 73, 123, 19, 12, 4
2019/9/2, 128, 89, 17, 10, 5
2019/9/3, 133, 99, 13, 10, 5
2019/9/4, 137, 66, 12, 10, 4
2019/9/5, 82, 67, 12, 10, 4
2019/9/6, 89, 61, 12, 10, 4
2019/9/7, 84, 59, 13, 10, 4
2019/9/8, 83, 92, 25, 10, 4
2019/9/9, 138, 106, 33, 10, 5
2019/9/10, 147, 118, 25, 9, 6
2019/9/11, 160, 84, 8, 9, 6
2019/9/12, 114, 64, 8, 9, 5
2019/9/13, 85, 57, 8, 8, 5
2019/9/14, 74, 59, 9, 8, 6
2019/9/15, 92, 121, 20, 7, 7
2019/9/16, 139, 104, 23, 7, 7
2019/9/17, 161, 67, 16, 8, 5
2019/9/18, 97, 48, 15, 7, 5
2019/9/19, 68, 67, 16, 8, 6
2019/9/20, 98, 65, 20, 7, 6
2019/9/21, 100, 51, 13, 8, 6
2019/9/22, 76, 58, 19, 8, 6
2019/9/23, 90, 64, 30, 8, 6
2019/9/24, 94, 66, 18, 8, 6
2019/9/25, 89, 53, 13, 8, 5
2019/9/26, 71, 44, 13, 8, 5
2019/9/27, 56, 54, 14, 8, 5
